CODE,PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia_,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,PROVINCIA,Campanna1,Campanna2,Campanna3,Zona _Renta,REV_Garantia,Averia_grave,QUEJA_CAC,EDAD_COCHE,COSTE_VENTA,km_anno,Mas_1_coche,Revisiones,Edad Cliente,Tiempo,COMBO_ZONA_TIEMPO
33284,8,6,1,2,1,3,0,0,1,31,1,0,0,1.0,1,3,0,2.0,3682,47555,1,2,49,0.42857142857142855,0.6432876712328767
33293,8,6,1,2,1,0,3,0,1,8,0,0,0,0.0,0,3,0,1.89,1903,0,0,1,67,0.0,0.0
33342,8,6,1,2,1,2,0,1,1,26,1,0,1,0.0,1,3,0,1.84,2854,34158,1,2,60,0.35714285714285715,0.2547945205479452
33361,8,6,1,2,1,0,0,0,1,31,0,0,0,0.3333333333333333,1,2,1,2.43,1903,25871,0,2,43,0.0,0.11251141552511415
33393,8,6,1,2,1,2,0,1,1,35,1,0,0,0.3333333333333333,0,0,0,2.0,2799,0,0,2,68,0.0,0.11251141552511415
33414,8,6,1,2,1,3,0,0,1,8,1,0,0,0.3333333333333333,1,3,0,2.35,3682,7318,1,1,39,0.5,0.46922374429223745
33441,8,6,1,2,1,2,0,1,1,31,1,0,0,1.0,0,3,0,2.19,2799,0,1,2,52,0.2857142857142857,0.5413698630136986
33468,8,6,1,2,1,0,0,1,1,2,1,0,0,0.3333333333333333,0,3,0,2.04,1903,0,0,1,34,0.0,0.11251141552511415
33487,8,6,1,2,1,2,0,1,1,48,1,0,0,1.0,1,2,1,2.43,2799,17392,0,1,48,0.0,0.3375342465753425
33507,8,6,1,2,1,3,0,1,1,24,1,0,0,0.0,0,3,1,1.89,1903,0,0,1,46,0.0,0.0
33534,8,6,1,2,1,2,0,1,1,18,1,0,0,0.0,0,2,1,2.19,5026,0,1,2,27,0.5,0.3567123287671233
33588,8,6,1,2,1,2,3,1,1,31,1,0,0,0.0,1,3,0,2.36,2799,11625,0,1,39,0.0,0.0
33597,8,6,1,2,1,0,0,1,1,31,0,0,0,1.0,1,2,1,2.33,1903,24530,1,1,58,0.5714285714285714,0.7452054794520548
33598,8,6,1,2,1,0,3,1,1,31,0,0,0,1.0,1,3,0,2.32,2854,37197,1,0,59,0.35714285714285715,0.5923287671232877
33604,8,6,1,2,1,2,0,1,2,41,1,0,0,0.0,1,3,0,2.37,2799,20786,0,1,61,0.0,0.0
33623,8,6,1,2,1,0,0,1,1,47,1,0,0,0.0,1,3,0,2.36,1903,20797,0,2,56,0.0,0.0
33633,8,6,1,2,1,0,0,0,1,29,0,0,0,0.0,1,3,0,2.35,1903,22105,0,2,45,0.0,0.0
33700,8,6,1,2,1,0,0,0,1,31,0,0,0,0.3333333333333333,0,3,0,1.96,1903,0,0,0,61,0.0,0.11251141552511415
33726,8,6,1,2,1,2,0,1,1,47,1,0,0,0.0,0,3,0,1.95,2799,0,0,2,48,0.0,0.0
33769,8,6,1,2,1,0,0,1,1,8,0,0,0,0.3333333333333333,0,3,0,2.2,1903,0,0,1,33,0.0,0.11251141552511415
33773,8,6,1,2,1,0,0,0,1,8,0,0,0,0.0,1,3,0,2.29,1903,28985,0,2,47,0.0,0.0
33777,8,6,1,2,1,2,0,1,1,8,1,0,0,1.0,1,3,0,2.34,4198,32283,1,0,46,0.42857142857142855,0.6432876712328767
33779,8,6,1,2,1,2,0,0,1,31,1,0,0,1.0,0,3,0,2.08,2799,0,1,1,67,0.2857142857142857,0.5413698630136986
33801,8,6,1,2,1,2,0,1,1,31,1,1,0,0.3333333333333333,1,0,0,2.3,4198,46122,1,2,48,0.5,0.46922374429223745
33854,8,6,1,2,1,0,0,1,1,11,1,0,0,0.0,1,3,0,1.91,2854,32945,0,1,49,0.0,0.0
33906,8,6,1,2,1,0,0,1,1,8,0,0,0,0.0,0,1,0,2.25,1903,0,0,1,50,0.0,0.0
33909,8,6,1,2,1,2,0,1,1,13,1,0,1,0.3333333333333333,1,3,0,2.25,1903,15060,1,1,41,0.42857142857142855,0.4182648401826484
33921,8,6,1,2,1,2,0,1,1,49,1,0,0,0.3333333333333333,1,3,0,2.27,5026,22302,1,2,45,0.42857142857142855,0.4182648401826484
33927,8,6,1,2,1,1,0,0,1,32,1,0,0,1.0,0,2,1,2.1,3682,0,1,2,33,0.35714285714285715,0.5923287671232877
33962,8,6,1,2,1,2,0,1,1,49,1,0,0,0.0,1,3,1,2.26,2799,6498,0,1,38,0.0,0.0
33991,8,6,1,2,1,0,0,1,1,15,0,0,0,0.0,0,3,0,1.87,1903,0,0,1,26,0.0,0.0
34000,8,6,1,2,1,2,0,1,1,49,1,0,0,1.0,0,3,0,2.26,2799,0,1,1,28,0.2857142857142857,0.5413698630136986
34027,8,6,1,2,1,2,0,0,1,31,1,0,1,1.0,1,3,0,2.04,2854,33086,1,1,55,0.35714285714285715,0.5923287671232877
34034,8,6,1,2,1,0,0,0,1,31,0,0,0,1.0,0,3,0,2.21,1903,0,1,2,23,0.21428571428571427,0.4904109589041095
34042,8,6,1,2,1,0,1,0,1,34,1,0,0,0.0,0,2,1,2.11,3682,0,0,1,31,0.0,0.0
34058,8,6,1,2,1,3,0,1,1,26,0,0,0,0.0,1,3,0,2.1,1903,19258,0,2,49,0.0,0.0
34066,8,6,1,2,1,2,0,1,0,8,0,0,1,0.0,0,3,0,1.83,2648,0,0,0,67,0.0,0.0
34105,8,6,1,2,1,2,0,1,1,21,0,0,1,1.0,0,3,0,1.77,2648,0,1,0,39,0.2857142857142857,0.5413698630136986
34113,8,6,1,2,1,3,0,0,1,46,0,0,0,1.0,1,3,0,2.1,1903,26246,1,1,59,0.6428571428571429,0.796164383561644
34126,8,6,1,2,1,2,0,1,1,31,1,0,1,1.0,1,3,0,1.89,2854,31952,1,1,48,0.35714285714285715,0.5923287671232877
